"Year";"month";"SOI";"P";"Panomaly"
1904;"May";9.2;51.84;11.4
1904;"Jun";-7.1;18.45;-11.72
1904;"Jul";-8.9;35.49;3.31
1904;"Aug";0.8;17.35;-11.16
1904;"Sep";0.2;17.96;-8.27
1904;"Oct";1.2;59.5;23.21
1904;"Nov";-17.2;24.53;-22.78
1904;"Dec";2.6;63.27;-8.63
1905;"Jan";-9.2;101.75;0.86
1905;"Feb";-16.8;35.38;-53.68
1905;"Mar";-30.2;35.45;-39.27
1905;"Apr";-42.6;84.16;38.57
1905;"May";-37.4;36.42;-4.02
1905;"Jun";-31.4;26.95;-3.22
1905;"Jul";-21.3;27.69;-4.49
1905;"Aug";-7.6;13.64;-14.87
1905;"Sep";-7;15.35;-10.88
1905;"Oct";-5.6;31.36;-4.93
1905;"Nov";-17.9;29.03;-18.28
1905;"Dec";-13.1;34.92;-36.98
1906;"Jan";-3.5;75.89;-25
1906;"Feb";-7.4;135.87;46.81
1906;"Mar";-5.2;130.68;55.96
1906;"Apr";-8.8;16.66;-28.93
1906;"May";1.3;43.31;2.87
1906;"Jun";-3.9;29.96;-0.21
1906;"Jul";6.8;22.77;-9.41
1906;"Aug";15.5;38.62;10.11
1906;"Sep";18.3;75.09;48.86
1906;"Oct";9.1;50.53;14.24
1906;"Nov";21.7;69.92;22.61
1906;"Dec";4.7;79.66;7.76
1907;"Jan";5.1;104.89;4
1907;"Feb";1.6;67.6;-21.46
1907;"Mar";-0.3;62.82;-11.9
1907;"Apr";4.5;24.19;-21.4
1907;"May";10;31.22;-9.22
1907;"Jun";8.3;46.05;15.88
1907;"Jul";-4.3;23.11;-9.07
1907;"Aug";-8.2;26;-2.51
1907;"Sep";0.2;12.47;-13.76
1907;"Oct";0.6;22.51;-13.78
1907;"Nov";-2;54.8;7.49
1907;"Dec";8.8;144.33;72.43
1908;"Jan";-10.6;70.53;-30.36
1908;"Feb";7.7;112.13;23.07
1908;"Mar";0.2;119.77;45.05
1908;"Apr";16.8;41.32;-4.27
1908;"May";-1.1;22.17;-18.27
1908;"Jun";-2.3;22.9;-7.27
1908;"Jul";2.2;28.01;-4.17
1908;"Aug";5.3;32.88;4.37
1908;"Sep";17.7;26.56;0.33
1908;"Oct";7.9;43.97;7.68
1908;"Nov";2.6;39.48;-7.83
1908;"Dec";-5.5;35.86;-36.04
1909;"Jan";-2.5;85.4;-15.49
1909;"Feb";-3.2;61.87;-27.19
1909;"Mar";-0.3;82.86;8.14
1909;"Apr";-14.5;39.56;-6.03
1909;"May";2.1;24.67;-15.77
1909;"Jun";22.8;56.88;26.71
1909;"Jul";10.7;25.11;-7.07
1909;"Aug";9.8;60.12;31.61
1909;"Sep";0.8;17.23;-9
1909;"Oct";4.2;34.24;-2.05
1909;"Nov";9.2;47.75;0.44
1909;"Dec";4.7;87.73;15.83
1910;"Jan";5.6;140.46;39.57
1910;"Feb";15.2;79.55;-9.51
1910;"Mar";12.7;131.15;56.43
1910;"Apr";5.3;27.51;-18.08
1910;"May";0.5;24.14;-16.3
1910;"Jun";22;55.72;25.55
1910;"Jul";20.5;31.36;-0.82
1910;"Aug";9.8;17.03;-11.48
1910;"Sep";15.3;38.69;12.46
1910;"Oct";10.3;35.34;-0.95
1910;"Nov";19.7;66.5;19.19
1910;"Dec";15.9;86.37;14.47
1911;"Jan";3.2;170.23;69.34
1911;"Feb";1.6;142.09;53.03
1911;"Mar";3.5;76.13;1.41
1911;"Apr";2;52;6.41
1911;"May";-8.2;29.11;-11.33
1911;"Jun";-12;16.62;-13.55
1911;"Jul";-12.8;25.68;-6.5
1911;"Aug";-12.1;17.73;-10.78
1911;"Sep";-8.8;21.29;-4.94
1911;"Oct";-11.7;20.11;-16.18
1911;"Nov";-7.3;52.2;4.89
1911;"Dec";-1.4;63.9;-8
1912;"Jan";-9.7;42.09;-58.8
1912;"Feb";-17.3;59.09;-29.97
1912;"Mar";-9;73.42;-1.3
1912;"Apr";-21.1;13.21;-32.38
1912;"May";-13;11.59;-28.85
1912;"Jun";-6.3;95.61;65.44
1912;"Jul";-0.4;52.96;20.78
1912;"Aug";-7.6;20.62;-7.89
1912;"Sep";-4;21.32;-4.91
1912;"Oct";-8;30.21;-6.08
1912;"Nov";2.6;45.98;-1.33
1912;"Dec";-8;42.54;-29.36
1913;"Jan";-3.5;95.37;-5.52
1913;"Feb";-5;127.73;38.67
1913;"Mar";1.3;95.28;20.56
1913;"Apr";-6.3;45.3;-0.29
1913;"May";-8.2;57.87;17.43
1913;"Jun";-3.9;46.49;16.32
1913;"Jul";-1.7;13.35;-18.83
1913;"Aug";-7.6;12.93;-15.58
1913;"Sep";-9.4;22.89;-3.34
1913;"Oct";-9.2;26.77;-9.52
1913;"Nov";-11.9;18.32;-28.99
1913;"Dec";-7;86.35;14.45
1914;"Jan";-5.4;80.83;-20.06
1914;"Feb";2;62.63;-26.43
1914;"Mar";9.4;106.72;32
1914;"Apr";-14.5;39.77;-5.82
1914;"May";-0.3;30.85;-9.59
1914;"Jun";-16.8;45.04;14.87
1914;"Jul";-18;20.62;-11.56
1914;"Aug";-17.2;6.69;-21.82
1914;"Sep";-12.4;12.64;-13.59
1914;"Oct";-8.6;26.29;-10
1914;"Nov";-11.9;38.73;-8.58
1914;"Dec";-1.4;77.27;5.37
1915;"Jan";-21.6;54.85;-46.04
1915;"Feb";-2.2;35.43;-53.63
1915;"Mar";-20.4;21.92;-52.8
1915;"Apr";-17.8;18.39;-27.2
1915;"May";-12.2;42.6;2.16
1915;"Jun";6.6;23.98;-6.19
1915;"Jul";14;23.55;-8.63
1915;"Aug";7.2;27.74;-0.77
1915;"Sep";7.5;38.93;12.7
1915;"Oct";2.4;24.49;-11.8
1915;"Nov";-14.6;20.35;-26.96
1915;"Dec";9.8;76.91;5.01
1916;"Jan";5.6;87.07;-13.82
1916;"Feb";-3.6;74.53;-14.53
1916;"Mar";-6.3;41.3;-33.42
1916;"Apr";-0.5;49.19;3.6
1916;"May";6.8;18.84;-21.6
1916;"Jun";9.1;52.69;22.52
1916;"Jul";25.7;63.77;31.59
