"time"	"median"	"lower"	"upper"	"component"
1959	-0.394943	-0.87525985	0.0251007299999999	"HCI1"
1960	1.101035	0.8305798	1.362959	"HCI1"
1961	1.40751	1.1402085	1.6504265	"HCI1"
1962	-0.05993475	-0.51367485	0.30237795	"HCI1"
1963	-0.1236995	-0.59536325	0.25564415	"HCI1"
1964	-1.269335	-1.667585	-0.92825725	"HCI1"
1965	0.955909	0.67230605	1.2139415	"HCI1"
1966	0.360226	0.10488	0.59015635	"HCI1"
1967	0.212498	-0.04401916	0.4573573	"HCI1"
1968	0.215558	0.0036732005	0.4119483	"HCI1"
1969	0.623778	0.4283404	0.78505865	"HCI1"
1970	-1.047935	-1.332343	-0.80450395	"HCI1"
1971	-1.62404	-1.9163625	-1.318107	"HCI1"
1972	-1.21249	-1.490445	-0.94981665	"HCI1"
1973	0.1823235	-0.032202475	0.3806926	"HCI1"
1974	-0.1541145	-0.3781542	0.0389138	"HCI1"
1975	-1.560245	-1.8513965	-1.291773	"HCI1"
1976	1.632005	1.457758	1.797134	"HCI1"
1977	1.070835	0.88252825	1.2614585	"HCI1"
1978	0.587487	0.3787505	0.78094145	"HCI1"
1979	0.692229	0.5119364	0.87019515	"HCI1"
1980	0.3899395	0.18979575	0.6033613	"HCI1"
1981	1.88884	1.7055385	2.073861	"HCI1"
1982	2.598445	2.4126785	2.801969	"HCI1"
1983	0.3034875	0.091560985	0.49443125	"HCI1"
1984	0.2732525	0.055809785	0.46723925	"HCI1"
1985	0.237632	0.044903905	0.42848515	"HCI1"
1986	-0.935079	-1.1807215	-0.6845696	"HCI1"
1987	1.512545	1.316691	1.711431	"HCI1"
1988	-1.118455	-1.383971	-0.90109995	"HCI1"
1989	0.540934	0.30813295	0.77340575	"HCI1"
1990	-0.6746425	-0.92950955	-0.4481769	"HCI1"
1991	-1.75351	-2.05198	-1.4709135	"HCI1"
1992	0.632526	0.4300952	0.83350545	"HCI1"
1993	1.83705	1.6644885	2.0086875	"HCI1"
1994	1.783595	1.591824	2.0017985	"HCI1"
1995	-0.5063535	-0.75779295	-0.2791499	"HCI1"
1996	-0.254178	-0.4676737	-0.04696278	"HCI1"
1997	0.271149	0.0666593	0.47242525	"HCI1"
1998	0.303346	0.084880755	0.50818945	"HCI1"
1999	1.9098	1.685706	2.114921	"HCI1"
2000	2.058015	1.8329985	2.312838	"HCI1"
2001	-0.981188	-1.2534305	-0.7238783	"HCI1"
2002	1.27526	1.07483	1.4773885	"HCI1"
2003	1.59758	1.410845	1.791827	"HCI1"
2004	-1.718875	-2.0419645	-1.425791	"HCI1"
2005	-0.1724425	-0.38429625	0.0552206699999999	"HCI1"
2006	0.6481215	0.42556145	0.8774715	"HCI1"
2007	0.281644	0.05358933	0.48685515	"HCI1"
2008	-0.5542565	-0.79750465	-0.3369962	"HCI1"
2009	-0.7741295	-1.054937	-0.5233611	"HCI1"
2010	-0.681403	-0.93379305	-0.4475762	"HCI1"
2011	-0.270109	-0.48712345	-0.0485783650000001	"HCI1"
2012	0.777052	0.5592828	0.99672225	"HCI1"
2013	-0.310552	-0.5530844	-0.0830796	"HCI1"
2014	-0.266578	-0.4793591	-0.0532166900000001	"HCI1"
2015	0.352382	0.1388996	0.56739875	"HCI1"
1705	-0.2740535	-1.6770925	1.2228365	"HCI2"
1706	-0.719327	-2.765841	0.8249943	"HCI2"
1707	0.365586	-0.94550565	1.562068	"HCI2"
1708	-0.7187935	-2.830964	0.98768185	"HCI2"
1709	0.0787896	-1.534466	1.6577215	"HCI2"
1710	2.169175	0.94765605	3.727584	"HCI2"
1711	-0.04330645	-1.692781	1.1232485	"HCI2"
1712	-0.0832329	-1.317791	1.219461	"HCI2"
1713	0.0458289	-1.231051	1.6570355	"HCI2"
1714	-0.0639148	-1.393308	1.263945	"HCI2"
1715	0.01476885	-1.485527	1.368763	"HCI2"
1716	0.207415	-1.3770475	2.225957	"HCI2"
1717	-0.01792415	-1.7477685	1.3805095	"HCI2"
1718	-0.05955635	-1.500012	1.2647245	"HCI2"
1719	0.1197975	-1.5992985	1.778912	"HCI2"
1720	0.0122401	-1.420578	1.636554	"HCI2"
1721	-0.1381845	-2.321057	1.664163	"HCI2"
1722	-0.04241775	-1.471351	1.4321485	"HCI2"
1723	-0.0148717	-1.8631035	1.3826215	"HCI2"
1724	-0.01599415	-1.547206	1.610833	"HCI2"
1725	-0.05648495	-1.465458	1.2839355	"HCI2"
1726	-0.00467128	-1.488412	1.618351	"HCI2"
1727	0.111874	-1.1847225	2.0439645	"HCI2"
1728	-0.04202095	-1.3556045	1.408617	"HCI2"
1729	-0.1470715	-2.0404125	1.3000965	"HCI2"
1730	-0.116842	-1.363285	1.317107	"HCI2"
1731	-0.0746776	-1.875207	1.46625	"HCI2"
1732	-0.7800315	-1.9255895	0.40374385	"HCI2"
1733	-0.0549464	-1.7502755	1.290988	"HCI2"
1734	-0.2649715	-1.3792145	1.064794	"HCI2"
1735	0.02484305	-1.338985	2.0246565	"HCI2"
1736	-0.04793385	-1.5410355	1.2530075	"HCI2"
1737	0.0677842	-1.7083385	1.590804	"HCI2"
1738	-0.1851695	-1.9736635	1.3291655	"HCI2"
1739	0.02010925	-1.555991	1.5288905	"HCI2"
1740	-0.1062675	-1.4667485	1.2231225	"HCI2"
1741	-0.0482509	-1.5871085	1.244834	"HCI2"
1742	-0.2745605	-1.6142305	1.09149	"HCI2"
1743	-1.20115	-2.864591	0.482055449999999	"HCI2"
1744	-0.1039045	-1.403713	1.3981255	"HCI2"
1745	-0.004508065	-1.194813	1.700294	"HCI2"
1746	-0.02081615	-1.8926925	1.911572	"HCI2"
1747	-0.1904625	-1.7897345	1.184327	"HCI2"
1748	-0.0976137	-1.1938215	1.096343	"HCI2"
1749	0.01482875	-1.760745	1.479792	"HCI2"
1750	0.02990605	-1.422774	1.82526	"HCI2"
1751	0.0260199	-1.248386	1.412551	"HCI2"
1752	-0.076927	-1.5502525	1.9520255	"HCI2"
1753	-0.141298	-1.748923	1.4196025	"HCI2"
1754	0.0519673	-1.278747	1.3494355	"HCI2"
1755	-0.52633	-1.8872905	1.0125195	"HCI2"
1756	-0.610957	-2.096356	0.75989265	"HCI2"
1757	-0.04889895	-1.346809	1.4056565	"HCI2"
1758	0.0358967	-1.148156	1.745989	"HCI2"
1759	0.08694305	-1.2338525	1.8495265	"HCI2"
1760	-0.006771415	-1.5003445	1.7508215	"HCI2"
1761	0.05129325	-1.3508365	1.505617	"HCI2"
1762	0.09743045	-1.6154315	1.8313	"HCI2"
1763	-0.0502372	-1.518736	1.2705095	"HCI2"
1764	-0.07098405	-1.5655315	1.2665105	"HCI2"
1765	0.0345418	-1.3337435	1.974449	"HCI2"
1766	-0.1243555	-1.8767135	1.2228115	"HCI2"
1767	-0.0978981	-1.4196055	1.385919	"HCI2"
1768	0.1256145	-1.235877	1.646645	"HCI2"
1769	-2.85528	-4.4845595	-0.3995799	"HCI2"
1770	0.178034	-0.8172405	1.422984	"HCI2"
1771	0.209251	-0.96292275	1.9793025	"HCI2"
1772	-0.064845	-2.0361665	1.3578085	"HCI2"
1773	-0.03141865	-1.84943	1.6098505	"HCI2"
1774	-0.03207765	-1.4615705	1.344666	"HCI2"
1775	0.03946995	-1.225986	1.3749345	"HCI2"
1776	0.05408745	-1.2768985	1.670931	"HCI2"
1777	-0.1265545	-1.7357485	1.6156395	"HCI2"
1778	0.28857	-0.90187045	1.7089045	"HCI2"
1779	-0.03164555	-1.420162	1.5753815	"HCI2"
1780	-0.0700709	-1.4639575	1.346699	"HCI2"
1781	-0.0349518	-1.328972	2.059442	"HCI2"
