"ID";"River_station";"CatchmentArea_km2";"XLambert.II";"YLambert.II";"Elevation";"first_data";"last_data";"Lat";"Lon";"HER_Original";"XG";"YG";"HER_Clustered";"S";"P10";"DD";"Zmean";"name2"
"K5653010";"LAuron à Bourges [LOrmediot]";585;608476;2226352;130;1967;2010;47.03696609;2.44806367;9;621029.75;2206165.5;9;588.99994;51.83543;717.0849;187.32088;"L'Auron à Bourges "
"K6492510";"La Sauldre a Selles-sur-Cher";2254;539369;2254394;73;1964;2008;47.28649264;1.53496623;-9999;-9999;-9999;9;-9999;-9999;-9999;-9999;"La Sauldre à Selles-sur-Cher"
"K7312610";"LIndre à Saint-Cyran-du-Jambot";1712;508056;2224821;85;1968;2010;47.01687508;1.12707215;9;550770.6875;2194353.75;9;1721.00061;52.28897;705.77917;204.38815;"L'Indre à Saint-Cyran-du-Jambot"
"K7514010";"LÉchandon à Saint-Branchs";127;485127;2250845;63;1968;2010;47.24736798;0.81891249;9;483750;2240320.25;9;127.99994;47.27625;854.79687;108.22656;"L'Échandon à Saint-Branchs"
"L0010610";"La Vienne à Peyrelevade [Servières]";58.5;574363;2078033;618;1957;2010;45.70214587;2.00737328;21;578324.5625;2077535.125;13;56.99997;72.48842;1137.14038;838.98248;"La Vienne à Peyrelevade "
"L0314010";"La Vige à Saint-Martin-Sainte-Catherine";134;541225;2106498;302;1958;2010;45.95616894;1.57837824;21;547386.375;2102590.5;13;132.00002;69.43152;1091.66663;476.75;"La Vige à Saint-Martin-Sainte-Catherine"
"L0563010";"La Briance à Condat-sur-Vienne [Chambon Veyrinas]";597;514694;2084646;214;1966;2010;45.75676606;1.24011457;21;527928.1875;2074920.875;13;598.00012;70.87903;881.76251;386.69064;"La Briance à Condat-sur-Vienne "
"L0813010";"La Glane à Saint-Junien [le Dérot]";288;489758;2102428;208;1967;2010;45.91313205;0.9155422;21;501172.34375;2106193.25;13;289.99997;61.56524;1193.15515;316.57932;"La Glane à Saint-Junien "
"L4010710";"LA CREUSE à FELLETIN";165;586857;2098693;510;1958;2010;45.88837499;2.16721932;21;584207.5625;2088991.125;13;171.00008;70.36772;981.15204;746.4386;"La Creuse à Felletin"
"L4033010";"LA ROZEILLE à MOUTIER-ROZEILLE [AUBUSSON]";186;587644;2103530;440;1959;2010;45.93190753;2.17723163;21;594804.6875;2092585.375;13;187.00009;64.91866;941.12836;700.09625;"La Rozeille à Moutier-Rozeille "
"L4220710";"LA GRANDE CREUSE à FRESSELINES";1235;549424;2153359;212;1956;2010;46.37842318;1.6790741;21;577199;2115044.75;13;1234.99963;63.84421;930.74817;537.94739;"La Creuse à Fresselines"
"L4321710";"La Petite Creuse à Genouillac";558;573550;2151950;273;1967;2009;46.36713112;1.99277549;21;585016;2144233;13;562.00006;60.71678;1068.5481;418.34875;"La Petite Creuse à Genouillac"
"L4411710";"LA PETITE CREUSE à FRESSELINES [PUY RAGEAUD]";850;550194;2154188;218;1958;2010;46.38593896;1.68899441;21;578290.125;2147073;13;848.00018;59.43074;1052.81958;393.90094;"La Petite Creuse à Fresselines "
"L5034010";"LArdour à Folles [Forgefer]";131;534981;2122179;318;1967;2010;46.09667056;1.49567416;21;543372.0625;2120804;13;125.00001;59.85632;900.43201;437.91199;"L'Ardour à Folles "
"L5101810";"La Gartempe à Folles [Bessines]";570;530170;2124131;298;1960;2010;46.1137509;1.4331701;21;546369.125;2125339.75;13;573.00006;60.5997;955.2478;443.23212;"La Gartempe à Folles "
"L5134010";"La Semme à Droux";177;507735;2128547;186;1968;2010;46.1507827;1.14210516;21;523797.75;2130798.5;13;178.00011;62.42506;976.30334;324.10675;"La Semme à Droux"
"L5223020";"Le Vincou à Bellac [2]";286;498358;2126862;235;1966;2010;46.13427706;1.02110005;21;507570.71875;2116786.75;13;282.99997;62.38223;967.71027;318.7597;"Le Vincou à Bellac "
"L7000610";"La Vienne a Nouatre";19920;463888;2229317;40;1957;2008;47.04972548;0.54489344;-9999;-9999;-9999;9;-9999;-9999;-9999;-9999;"La Vienne à Nouâtre"
"M0243010";"LOrne Saosnoise à Montbizot [Moulin Neuf Cidrerie]";510;441415;2353322;50;1967;2010;48.15966278;0.20494302;9;453427.15625;2366063;9;535.99988;46.59181;801.51495;105.98881;"L'Orne Saosnoise à Montbizot "
"M1213010";"La Braye à Valennes [la Caboche]";270;486825;2336100;101;1968;2010;48.01431991;0.81959427;9;486942.03125;2344826;9;276;47.52431;797.23187;174.64131;"La Braye à Valennes "
"M1354020";"LEscotais à Saint-Paterne-Racan";67;460299;2290931;65;1968;2010;47.60306111;0.47849277;9;464085.71875;2284828.25;9;69.99999;45.009;511.08572;113.58572;"L'Escotais à Saint-Paterne-Racan"
"M3323010";"LErnée à Andouillé [les Vaugeois]";375;368397;2356631;63;1968;2010;48.16748937;-0.77740279;12;358446.25;2369883.5;12;372.99982;46.17466;1267.55762;157.0992;"L'Ernée à Andouillé "
"M3423010";"La Jouanne à Forcé";410;373173;2341528;47;1968;2010;48.03346702;-0.70539732;12;388307.8125;2356020.25;12;410.99985;46.01504;1027.74451;120.46472;"La Jouanne à Forcé"
"M5102010";"Le Layon à Saint-Georges-sur-Layon";250;394615;2247235;44;1967;2010;47.19299691;-0.37447838;12;390384.34375;2237805.5;12;242.00003;46.19979;580.35126;97.88843;"Le Layon à Saint-Georges-sur-Layon"
"M5222010";"Le Layon à Saint-Lambert-du-Lattay [Pont de Bézigon]";920;375608;2261625;15;1967;2010;47.31618005;-0.6323086;12;383505.4375;2246249.5;12;916.99951;46.75022;739.51581;93.19193;"Le Layon à Saint-Lambert-du-Lattay "
"M6013010";"LEvre à la Chapelle-Saint-Florent [Pont Dalaine]";460;343871;2262224;11;1967;2010;47.31001869;-1.05206071;12;352570.71875;2247100.5;12;466.00018;54.46826;956.07941;103.3133;"L'Evre à la Chapelle-Saint-Florent "
"M6323010";"LErdre à Candé [La Grée]";169;345293;2289926;34;1968;2010;47.5595167;-1.04905112;12;351367.9375;2288896.25;12;105.99997;45.60472;759.99054;59.5283;"L'Erdre à Candé "
"M6333020";"L'Erdre a Nort-sur-Erdre [Moulin de Vaux]";472;312298;2280796;4;1967;2008;47.46388378;-1.48107964;-9999;-9999;-9999;12;-9999;-9999;-9999;-9999;"L'Erdre à Nort-sur-Erdre "
"M7112410";"La Sèvre Nantaise à Tiffauges [la Moulinette]";814;337639;2230023;43;1967;2010;47.01818141;-1.11570122;12;364587.90625;2207691.25;12;807.00037;55.75631;1096.86621;172.48203;"La Sèvre Nantaise à Tiffauges "
"M8205020";"LOgnon aux Sorinières [Villeneuve]";147;306570;2242980;0;1964;2010;47.12160177;-1.53227997;12;311940.78125;2231085.25;12;151.99992;50.29895;926.0658;37.48684;"L'Ognon aux Sorinières "
"N3024010";"Le Louing a Chantonnay [St-Philbert du Pont Charrault]";120;346980;2190840;43;1967;2008;46.66961354;-0.97124834;-9999;-9999;-9999;12;-9999;-9999;-9999;-9999;"Le Louing à Chantonnay "
"O0015310";"Le Maudan à Fos";38;469828;1764001;555;1961;2010;42.8672893;0.74696257;1;473370.96875;1764016.125;1;30.99999;86.9958;1362.1936;1392.03223;"Le Maudan à Fos"
"O0384010";"LArac à Soulan [Freychet]";169;509579;1766866;480;1962;2010;42.89914218;1.23181839;1;519132.46875;1764560.25;1;166.00005;81.4647;1375.87354;1086.5542;"L'Arac à Soulan "
"O0554010";"LArbas à Castelbiague [Pont de Prades]";98;485062;1783633;332;1968;2010;43.04621949;0.92865691;1;482430;1779800.125;1;99.99996;71.7645;1165.12;618.56;"L'Arbas à Castelbiague "
"O0624010";"Le Volp à Montberaud [Ste-Croix-Volvestre]";91;502630;1794306;274;1968;2010;43.14470739;1.14182994;1;507000;1786332.75;1;90.00005;68.55178;1407.6333;477.70001;"Le Volp à Montberaud "
"O1076010";"LE QUIOULES à CHATEAU-VERDUN [RIETE 2]";52.8;543275;1745824;1110;1960;2008;42.71362313;1.64574888;1;541330.1875;1740198;1;53.00001;88.85725;802.13208;2090.3584;"Le Quioulès à Château-Verdun "
"O1464010";"Le Blau a Chalabre";67;573783;1775037;375;1961;2008;42.97777225;2.01583304;-9999;-9999;-9999;6;-9999;-9999;-9999;-9999;"Le Blau à Chalabre"
"O1584610";"Le Douctouyre à Vira [Engraviès]";131;553958;1782472;301;1968;2010;43.04355872;1.77264238;1;555100;1773396.625;1;145.00006;72.47007;1125.37244;623.82758;"Le Douctouyre à Dun "
"O2725010";"La Lauze à Sémézies-Cachan [Faget-Abbatial]";36;469855;1834191;187;1965;2006;43.49780024;0.72976526;14;466094.59375;1827121.75;11;37;58.77406;1093.43237;264.24326;"La Lauze à Sémézies-Cachan "
"O3006710";"La Goudech à Saint-Maurice-de-Ventalon [La Cépède]";10;715880;1927760;1008;1949;2010;44.34132667;3.7886332;8;715700;1926600;8;10;208.886;1732.5;1133.09998;"La Goudech à Saint-Maurice-de-Ventalon "
"O3011010";"LE TARN AU PONT-DE-MONTVERT [FONTCHALETTES]";67;713110;1929950;905;1948;2010;44.36147112;3.75442524;8;715977.625;1930962.625;8;67.00002;201.87671;1418.76123;1289.0448;"Le Tarn au Pont-de-Montvert "
"O3031010";"Le Tarn à Bédouès [Cocures]";189;702293;1928006;565;1961;2010;44.34566226;3.61845952;8;710965.625;1931574.75;8;173.99998;174.14667;1243.79883;1203.29309;"Le Tarn à Bédouès "
"O3035210";"Le Briançon aux Bondons [Cocures]";25;701830;1929120;591;1949;2010;44.35574611;3.61288496;8;701083.3125;1932083.375;8;24.00001;120.48417;1377.25;953.375;"Le Briançon aux Bondons "
"O3121010";"Le Tarn à Montbrun [Pont de Montbrun]";621;692591;1926545;480;1961;2009;44.33388064;3.49662631;8;703303.75;1924862.625;8;631.99963;153.07689;1122.46521;1014.96838;"Le Tarn à Montbrun "
