value;iVar;itime;ispaceP;ispaceQ;ispaceT
0.211111111111111;2;61;0;5;0
0.868131868131868;2;62;0;5;0
0.4;2;63;0;5;0
0.311111111111111;2;64;0;5;0
1;2;65;0;5;0
0;2;66;0;5;0
0.433333333333333;2;67;0;5;0
0;2;68;0;5;0
0.288888888888889;2;69;0;5;0
0.263736263736264;2;70;0;5;0
0;2;71;0;5;0
0;2;72;0;5;0
0.311111111111111;2;73;0;5;0
0;2;74;0;5;0
0;2;75;0;5;0
0.244444444444444;2;76;0;5;0
0.133333333333333;2;77;0;5;0
0;2;78;0;5;0
0.022222222222222;2;79;0;5;0
0.788888888888889;2;80;0;5;0
0;2;81;0;5;0
0;2;82;0;5;0
0.033333333333333;2;83;0;5;0
0.688888888888889;2;84;0;5;0
1;2;85;0;5;0
0.538461538461538;2;86;0;5;0
0.422222222222222;2;87;0;5;0
0.177777777777778;2;88;0;5;0
0.722222222222222;2;89;0;5;0
0;2;90;0;5;0
0;2;91;0;5;0
0.755555555555556;2;92;0;5;0
0;2;93;0;5;0
0;2;94;0;5;0
0.144444444444444;2;95;0;5;0
0.411111111111111;2;96;0;5;0
0;2;97;0;5;0
0;2;98;0;5;0
0.244444444444444;2;99;0;5;0
0.522222222222222;2;100;0;5;0
0;2;57;0;6;0
0;2;58;0;6;0
0;2;59;0;6;0
0.5;2;60;0;6;0
0;2;61;0;6;0
0.571428571428571;2;62;0;6;0
0.144444444444444;2;63;0;6;0
0.244444444444444;2;64;0;6;0
0.866666666666667;2;65;0;6;0
0;2;66;0;6;0
0.333333333333333;2;67;0;6;0
0;2;68;0;6;0
0.122222222222222;2;69;0;6;0
0.307692307692308;2;70;0;6;0
0;2;71;0;6;0
0;2;72;0;6;0
0;2;73;0;6;0
0;2;74;0;6;0
0;2;75;0;6;0
0.177777777777778;2;76;0;6;0
0.066666666666667;2;77;0;6;0
0;2;78;0;6;0
0.044444444444444;2;79;0;6;0
0.488888888888889;2;80;0;6;0
0;2;81;0;6;0
0.131868131868132;2;82;0;6;0
0.166666666666667;2;83;0;6;0
0.3;2;84;0;6;0
0.922222222222222;2;85;0;6;0
0.142857142857143;2;86;0;6;0
0.122222222222222;2;87;0;6;0
0.511111111111111;2;88;0;6;0
0.8;2;89;0;6;0
0;2;90;0;6;0
0.566666666666667;2;91;0;6;0
0.5;2;92;0;6;0
0;2;93;0;6;0
0;2;94;0;6;0
0;2;95;0;6;0
0.433333333333333;2;96;0;6;0
0;2;97;0;6;0
0;2;98;0;6;0
0.311111111111111;2;99;0;6;0
0;2;100;0;6;0
0;2;54;0;7;0
0;2;55;0;7;0
0;2;56;0;7;0
0.044444444444444;2;57;0;7;0
0;2;58;0;7;0
0.055555555555556;2;59;0;7;0
0.488888888888889;2;60;0;7;0
0.022222222222222;2;61;0;7;0
0.703296703296703;2;62;0;7;0
0.6;2;63;0;7;0
0;2;64;0;7;0
0;2;65;0;7;0
0;2;66;0;7;0
0;2;67;0;7;0
0;2;68;0;7;0
0.022222222222222;2;69;0;7;0
0.087912087912088;2;70;0;7;0
0;2;71;0;7;0
0;2;72;0;7;0
0.355555555555556;2;73;0;7;0
0.065934065934066;2;74;0;7;0
0.022222222222222;2;75;0;7;0
0.044444444444444;2;76;0;7;0
0.055555555555556;2;77;0;7;0
0;2;78;0;7;0
0;2;79;0;7;0
0;2;80;0;7;0
